YEAR,BPL_CATEGORY,INCWAGE
1940,China,768.4754098360655
1940,France,1182.156652360515
1940,Germany,1173.0788819875777
1940,Japan,935.5512195121951
1940,Mexico,618.5799442896936
1940,USA,947.7533546740846
1940,Unknown,1126.2024480325772
1950,China,1801.0
1950,France,2029.1666666666667
1950,Germany,2686.7207514944494
1950,Japan,1696.969696969697
1950,Mexico,1613.7096774193549
1950,USA,2146.6822031940105
1950,Unknown,2463.5179153094464
1960,China,3451.2
1960,France,3849.882075471698
1960,Germany,4203.433256469382
1960,Japan,2631.891025641026
1960,Mexico,2468.882228490832
1960,USA,3609.7682631396083
1960,Unknown,3823.057425526696
